Date,Sales
2014-05-22,11234
2014-05-23,10321
2014-05-24,8992
2014-05-25,9315
2014-05-26,11193
2014-05-27,12870
2014-05-28,7483
2014-05-29,7493
2014-05-30,11569
2014-05-31,9706
2014-06-01,10556
2014-06-02,4081
2014-06-03,5240
2014-06-04,8606
2014-06-05,2942
2014-06-06,4525
2014-06-07,8536
2014-06-08,11714
2014-06-09,4967
2014-06-10,5608
2014-06-11,10597
2014-06-12,5942
2014-06-13,2337
2014-06-14,7555
2014-06-15,8844
2014-06-16,9176
2014-06-17,10792
2014-06-18,8881
2014-06-19,7714
2014-06-20,8261
2014-06-21,8380
2014-06-22,9790
2014-06-23,10127
2014-06-24,8415
2014-06-25,2808
2014-06-26,2596
2014-06-27,4224
2014-06-28,1410
2014-06-29,2281
2014-06-30,8049
2014-07-01,7842
2014-07-02,9598
2014-07-03,9720
2014-07-04,9624
2014-07-05,8761
2014-07-06,767
2014-07-07,109
2014-07-08,989
2014-07-09,8588
2014-07-10,7938
2014-07-11,8832
2014-07-12,5085
2014-07-13,5756
2014-07-14,6429
2014-07-15,7548
2014-07-16,9003
2014-07-17,8347
2014-07-18,6018
2014-07-19,5133
2014-07-20,7152
2014-07-21,10854
2014-07-22,7843
2014-07-23,11220
2014-07-24,11909
2014-07-25,12938
2014-07-26,11491
2014-07-27,12521
2014-07-28,12425
2014-07-29,10066
2014-07-30,11212
2014-07-31,13269
2014-08-01,13173
2014-08-02,10234
2014-08-03,7173
2014-08-04,9919
2014-08-05,9704
2014-08-06,9717
2014-08-07,9157
2014-08-08,6877
2014-08-09,9182
2014-08-10,9769
2014-08-11,8861
2014-08-12,9679
2014-08-13,10384
2014-08-14,9589
2014-08-15,7867
2014-08-16,10773
2014-08-17,7771
2014-08-18,10453
2014-08-19,8490
2014-08-20,7336
2014-08-21,9212
2014-08-22,6071
2014-08-23,10522
2014-08-24,13229
2014-08-25,10784
2014-08-26,13263
2014-08-27,8227
2014-08-28,9414
2014-08-29,5420
2014-08-30,10029
2014-08-31,11224
2014-09-01,11120
2014-09-02,12438
2014-09-03,11505
2014-09-04,5819
2014-09-05,9513
2014-09-06,6906
2014-09-07,6557
2014-09-08,13013
2014-09-09,13986
2014-09-10,11012
2014-09-11,10666
2014-09-12,13561
2014-09-13,10334
2014-09-14,7459
2014-09-15,7951
2014-09-16,10977
2014-09-17,7368
2014-09-18,9070
2014-09-19,12957
2014-09-20,7639
2014-09-21,6677
2014-09-22,8145
2014-09-23,5112
2014-09-24,13772
2014-09-25,19892
2014-09-26,12830
2014-09-27,12602
2014-09-28,9678
2014-09-29,9445
2014-09-30,19651
2014-10-01,17955
2014-10-02,15392
2014-10-03,9987
2014-10-04,15061
2014-10-05,21261
2014-10-06,11634
2014-10-07,10781
2014-10-08,7321
2014-10-09,5963
2014-10-10,9205
2014-10-11,11708
2014-10-12,12097
2014-10-13,12363
2014-10-14,8127
2014-10-15,12269
2014-10-16,22814
2014-10-17,14183
2014-10-18,11436
2014-10-19,12079
2014-10-20,17008
2014-10-21,13498
2014-10-22,12631
2014-10-23,10749
2014-10-24,15955
2014-10-25,21047
2014-10-26,14726
2014-10-27,15507
2014-10-28,14254
2014-10-29,11723
2014-10-30,12631
2014-10-31,15202
2014-11-01,19954
2014-11-02,24333
2014-11-03,16413
2014-11-04,15664
2014-11-05,15426
2014-11-06,14287
2014-11-07,15207
2014-11-08,9806
2014-11-09,16795
2014-11-10,16428
2014-11-11,20723
2014-11-12,19193
2014-11-13,18438
2014-11-14,13000
2014-11-15,11454
2014-11-16,15118
2014-11-17,11222
2014-11-18,19075
2014-11-19,31788
2014-11-20,15193
2014-11-21,14163
2014-11-22,15756
2014-11-23,14461
2014-11-24,16585
2014-11-25,14233
2014-11-26,12008
2014-11-27,14533
2014-11-28,17196
2014-11-29,16953
2014-11-30,13128
2014-12-01,15401
2014-12-02,13958
2014-12-03,21162
2014-12-04,16258
2014-12-05,17345
2014-12-06,16698
2014-12-07,16719
2014-12-08,15266
2014-12-09,16224
2014-12-10,22553
2014-12-11,16264
2014-12-12,15207
2014-12-13,14013
2014-12-14,19156
2014-12-15,15398
2014-12-16,18527
2014-12-17,22341
2014-12-18,17352
2014-12-19,16559
2014-12-20,16307
2014-12-21,17144
2014-12-22,21796
2014-12-23,22368
2014-12-25,18162
2014-12-26,20782
2014-12-27,17932
2014-12-28,17406
2014-12-29,20034
2014-12-30,15113
2014-12-31,18157
2015-01-01,16802
2015-01-02,19856
2015-01-03,18913
2015-01-04,20042
2015-01-05,19513
2015-01-06,19952
2015-01-07,27328
2015-01-08,22917
2015-01-09,22110
2015-01-10,16428
2015-01-11,16727
2015-01-12,15910
2015-01-13,20121
2015-01-14,17347
2015-01-15,21149
2015-01-16,21876
2015-01-17,21341
2015-01-18,17992
2015-01-19,18718
2015-01-20,24658
2015-01-21,21725
2015-01-22,19067
2015-01-23,23615
2015-01-24,21520
2015-01-25,21120
2015-01-26,14475
2015-01-27,19324
2015-01-28,27028
2015-01-29,22361
2015-01-30,25667
2015-01-31,21129
2015-02-01,19868
2015-02-02,18603
2015-02-03,21921
2015-02-04,20512
2015-02-05,22403
2015-02-06,23005
2015-02-07,21449
2015-02-08,15997
2015-02-09,21355
2015-02-10,18780
2015-02-11,17645
2015-02-12,15784
2015-02-13,21166
2015-02-14,24094
2015-02-15,26302
2015-02-16,19495
2015-02-17,15003
2015-02-18,19833
2015-02-19,20148
2015-02-20,15056
2015-02-21,16098
2015-02-22,20952
2015-02-23,22737
2015-02-24,21588
2015-02-25,18673
2015-02-26,15751
2015-02-27,18569
2015-02-28,14460
2015-03-01,19499
2015-03-02,22480
2015-03-03,24579
2015-03-04,31130
2015-03-05,33245
2015-03-06,25260
2015-03-07,32281
2015-03-08,31871
2015-03-09,27734
2015-03-10,24183
2015-03-11,25108
2015-03-12,25436
2015-03-13,27563
2015-03-14,25795
2015-03-15,27627
2015-03-16,28260
2015-03-17,24831
2015-03-18,20039
2015-03-19,18403
2015-03-20,17065
2015-03-21,20864
2015-03-22,25127
2015-03-23,21216
2015-03-24,21695
2015-03-25,24910
2015-03-26,18096
2015-03-27,23902
2015-03-28,26825
2015-03-29,26703
2015-03-30,24290
2015-03-31,24776
2015-04-01,24499
2015-04-02,24373
2015-04-03,24862
2015-04-04,24890
2015-04-05,29995
2015-04-06,28027
2015-04-07,33609
2015-04-08,23306
2015-04-09,16997
2015-04-10,12530
2015-04-11,14713
2015-04-12,14420
2015-04-13,16454
2015-04-14,9790
2015-04-15,13380
2015-04-16,10591
2015-04-17,13566
2015-04-18,13113
2015-04-19,14535
2015-04-20,15647
2015-04-21,16448
2015-04-22,18819
2015-04-23,15857
2015-04-24,14775
2015-04-25,15893
2015-04-26,12603
2015-04-27,16718
2015-04-28,21473
2015-04-29,24343
2015-04-30,14242
2015-05-01,16476
2015-05-02,17446
2015-05-03,19213
2015-05-04,21301
2015-05-05,17983
2015-05-06,10674
2015-05-07,15631
2015-05-08,17245
2015-05-09,12469
2015-05-10,7201
2015-05-11,12176
2015-05-12,11067
2015-05-13,12043
2015-05-14,13664
2015-05-15,8851
2015-05-16,15306
2015-05-17,11774
2015-05-18,8719
2015-05-19,8891
2015-05-20,13109
2015-05-21,18146
2015-05-22,21735
2015-05-23,18836
2015-05-24,16418
2015-05-25,6998
2015-05-26,8960
2015-05-27,7176
2015-05-28,9633
2015-05-29,9317
2015-05-30,13419
2015-05-31,13434
2015-06-01,6888
2015-06-02,10672
2015-06-03,16437
2015-06-04,14481
2015-06-05,10872
2015-06-06,12863
2015-06-07,16675
2015-06-08,11735
2015-06-09,12741
2015-06-10,14080
2015-06-11,12105
2015-06-12,11455
2015-06-13,13960
2015-06-14,11813
2015-06-15,10493
2015-06-16,1000
2015-06-17,2670
2015-06-18,11698
2015-06-19,13885
2015-06-20,13398
2015-06-21,17101
2015-06-22,17792
2015-06-23,17475
2015-06-24,19513
2015-06-25,18524
2015-06-26,18038
2015-06-27,12320
2015-06-28,7096
2015-06-29,7949
2015-06-30,9482
2015-07-01,13052
2015-07-02,12726
2015-07-03,8323
2015-07-04,10033
2015-07-05,13279
2015-07-06,9885
2015-07-07,11943
2015-07-08,14347
2015-07-09,10601
2015-07-10,12838
2015-07-11,8225
2015-07-12,5660
2015-07-13,5495
2015-07-14,12034
2015-07-15,14456
2015-07-16,516
2015-07-17,517
2015-07-18,3625
2015-07-19,14692
2015-07-20,2422
2015-07-21,7102
2015-07-22,17860
2015-07-23,11457
2015-07-24,10600
2015-07-25,12177
2015-07-26,8881
2015-07-27,10983
2015-07-28,12042
2015-07-29,19917
2015-07-30,18190
2015-07-31,18034
2015-08-01,16125
2015-08-02,12633
2015-08-03,13174
2015-08-04,7033
2015-08-05,9857
2015-08-06,11806
2015-08-07,14818
2015-08-08,19425
2015-08-09,14849
2015-08-10,15573
2015-08-11,15235
2015-08-12,14720
2015-08-13,7101
2015-08-14,6398
2015-08-15,10141
2015-08-16,18879
2015-08-17,12302
2015-08-18,17848
2015-08-19,17510
2015-08-20,12878
2015-08-21,18800
2015-08-22,6452
2015-08-23,9510
2015-08-24,15088
2015-08-25,18520
2015-08-26,14220
2015-08-27,15316
2015-08-28,14250
2015-08-29,14446
2015-08-30,17715
2015-08-31,12124
2015-09-01,8695
2015-09-02,17952
2015-09-03,23235
2015-09-04,19807
2015-09-05,21283
2015-09-06,21306
2015-09-07,20052
2015-09-08,14963
2015-09-09,13700
2015-09-10,9874
2015-09-11,13180
2015-09-12,17775
2015-09-13,15409
2015-09-14,16527
2015-09-15,15993
2015-09-16,12145
2015-09-17,21368
2015-09-18,24157
2015-09-19,12368
2015-09-20,12011
2015-09-21,14243
2015-09-22,16110
2015-09-23,13346
2015-09-24,19484
2015-09-25,15975
2015-09-26,13388
2015-09-27,21220
2015-09-28,30186
2015-09-29,11378
2015-09-30,17925
2015-10-01,20748
2015-10-02,25447
2015-10-03,20041
2015-10-04,27562
2015-10-05,21772
2015-10-06,13715
2015-10-07,15046
2015-10-08,18074
2015-10-09,30155
2015-10-10,28488
2015-10-11,24174
2015-10-12,11721
2015-10-13,13436
2015-10-14,15913
2015-10-15,18964
2015-10-16,24109
2015-10-17,19003
2015-10-18,19403
2015-10-19,12377
2015-10-20,17537
2015-10-21,22707
2015-10-22,28078
2015-10-23,21797
2015-10-24,13015
2015-10-25,14178
2015-10-26,21481
2015-10-27,17663
2015-10-28,24215
2015-10-29,30781
2015-10-30,32931
2015-10-31,29495
2015-11-01,25665
2015-11-02,29748
2015-11-03,25524
2015-11-04,27873
2015-11-05,27127
2015-11-06,30064
2015-11-07,40773
2015-11-08,19435
2015-11-09,18677
2015-11-10,23370
2015-11-11,23784
2015-11-12,22051
2015-11-13,25785
2015-11-14,20532
2015-11-15,19770
2015-11-16,17242
2015-11-17,26871
2015-11-18,31806
2015-11-19,31446
2015-11-20,27543
2015-11-21,26980
2015-11-22,24641
2015-11-23,25258
2015-11-24,24296
2015-11-25,30055
2015-11-26,29689
2015-11-27,32493
2015-11-28,31931
2015-11-29,28985
2015-11-30,36168
2015-12-01,32624
2015-12-02,33055
2015-12-03,29301
2015-12-04,31525
2015-12-05,28162
2015-12-06,26990
2015-12-07,27217
2015-12-08,27445
2015-12-09,27272
2015-12-10,24288
2015-12-11,25518
2015-12-12,26751
2015-12-13,28589
2015-12-14,30230
2015-12-15,27638
2015-12-16,24232
2015-12-17,26480
2015-12-18,26709
2015-12-19,26938
2015-12-20,23315
2015-12-21,21918
2015-12-22,24378
2015-12-23,33146
2015-12-24,29311
2015-12-25,26284
2015-12-26,28146
2015-12-27,21641
2015-12-28,25749
2015-12-29,28025
2015-12-30,25801
2015-12-31,26851
2016-01-01,31597
2016-01-02,24440
2016-01-03,28370
2016-01-04,29633
2016-01-05,31310
2016-01-06,25774
2016-01-07,25180
2016-01-08,33262
2016-01-09,30193
2016-01-10,24012
2016-01-11,27144
2016-01-12,26549
2016-01-13,31558
2016-01-14,28679
2016-01-15,31204
2016-01-16,28111
2016-01-17,24595
2016-01-18,31922
2016-01-19,28194
2016-01-20,31985
2016-01-21,28877
2016-01-22,33095
2016-01-23,36482
2016-01-24,32110
2016-01-25,30671
2016-01-26,31122
2016-01-27,22522
2016-01-28,24440
2016-01-29,28682
2016-01-30,30399
2016-01-31,24934
2016-02-01,33420
2016-02-02,33876
2016-02-03,25007
2016-02-04,30759
2016-02-05,22720
2016-02-06,30182
2016-02-07,41487
2016-02-08,45574
2016-02-09,38157
2016-02-10,37127
2016-02-11,27125
2016-02-12,29503
2016-02-13,29959
2016-02-14,32131
2016-02-15,31090
2016-02-16,28115
2016-02-17,24490
2016-02-18,26879
2016-02-19,25829
2016-02-20,28870
2016-02-21,31055
2016-02-22,38209
2016-02-23,30034
2016-02-24,28766
2016-02-25,31608
2016-02-26,35539
2016-02-27,36441
2016-02-28,43424
2016-02-29,27166
2016-03-01,27627
2016-03-02,25476
2016-03-03,27680
2016-03-04,18762
2016-03-05,25986
2016-03-06,34973
2016-03-07,33256
2016-03-08,29346
2016-03-09,25428
2016-03-10,24356
2016-03-11,34263
2016-03-12,37373
2016-03-13,40710
2016-03-14,38326
2016-03-15,36378
2016-03-16,35751
2016-03-17,35564
2016-03-18,29186
2016-03-19,39837
2016-03-20,28355
2016-03-21,25943
2016-03-22,37065
2016-03-23,34657
2016-03-24,22682
2016-03-25,22926
2016-03-26,33419
2016-03-27,40141
2016-03-28,30804
2016-03-29,23460
2016-03-30,26389
2016-03-31,16117
2016-04-01,25991
2016-04-02,16596
2016-04-03,31877
2016-04-04,27413
2016-04-05,20242
2016-04-06,27690
2016-04-07,44392
2016-04-08,28871
2016-04-09,27995
2016-04-10,27117
2016-04-11,27143
2016-04-12,25131
2016-04-13,28780
2016-04-14,32210
2016-04-15,26337
2016-04-16,27271
2016-04-17,26159
2016-04-18,18898
2016-04-19,23929
2016-04-20,20530
2016-04-21,15754
2016-04-22,21483
2016-04-23,25392
2016-04-24,20836
2016-04-25,17647
2016-04-26,22940
2016-04-27,23880
2016-04-28,18386
2016-04-29,22544
2016-04-30,28552
2016-05-01,29731
2016-05-02,28375
2016-05-03,15932
2016-05-04,24267
2016-05-05,25447
2016-05-06,22460
2016-05-07,25726
2016-05-08,26678
2016-05-09,31115
2016-05-10,25333
2016-05-11,27916
2016-05-12,28174
2016-05-13,24238
2016-05-14,23328
2016-05-15,22415
2016-05-16,26409
2016-05-17,19884
2016-05-18,14751
2016-05-19,19218
2016-05-20,25100
2016-05-21,24184
2016-05-22,22326
2016-05-23,25640
2016-05-24,25664
2016-05-25,10133
2016-05-26,12266
2016-05-27,25971
2016-05-28,27413
2016-05-29,25073
2016-05-30,22255
2016-05-31,23697
2016-06-01,22770
2016-06-02,22554
2016-06-03,23050
2016-06-04,22833
2016-06-05,16664
2016-06-06,16680
2016-06-07,16218
2016-06-08,16472
2016-06-09,19115
2016-06-10,18176
2016-06-11,20586
2016-06-12,13657
2016-06-13,13190
2016-06-14,13682
2016-06-15,13694
2016-06-16,15871
2016-06-17,14441
2016-06-18,16623
2016-06-19,18567
2016-06-20,19308
2016-06-21,9421
2016-06-22,1934
2016-06-23,6776
2016-06-24,19379
2016-06-25,23761
2016-06-26,27665
2016-06-27,20889
2016-06-28,12642
2016-06-29,16060
2016-06-30,13883
2016-07-01,11214
2016-07-02,14152
2016-07-03,17096
2016-07-04,11733
2016-07-05,10765
2016-07-06,10775
2016-07-07,19364
2016-07-08,26005
2016-07-09,12278
2016-07-10,18679
2016-07-11,22632
2016-07-12,23884
2016-07-13,21687
2016-07-14,16773
2016-07-15,23208
2016-07-16,27182
2016-07-17,6183
2016-07-18,5198
2016-07-19,13380
2016-07-20,15376
2016-07-21,19362
2016-07-22,18385
2016-07-23,23127
2016-07-24,23147
2016-07-25,23667
2016-07-26,21194
2016-07-27,24957
2016-07-28,19234
2016-07-29,23252
2016-07-30,22772
2016-07-31,8766
2016-08-01,9025
2016-08-02,6272
2016-08-03,4269
2016-08-04,6786
2016-08-05,7296
2016-08-06,13346
2016-08-07,19407
2016-08-08,22956
2016-08-09,23734
2016-08-10,18448
2016-08-11,21247
2016-08-12,23291
2016-08-13,16723
2016-08-14,24601
2016-08-15,31476
2016-08-16,25915
2016-08-17,15003
2016-08-18,18071
2016-08-19,19106
2016-08-20,24732
2016-08-21,31134
2016-08-22,14303
2016-08-23,13805
2016-08-24,21238
2016-08-25,27147
2016-08-26,23326
2016-08-27,28991
2016-08-28,27989
2016-08-29,22874
2016-08-30,16206
2016-08-31,23172
2016-09-01,15719
2016-09-02,23471
2016-09-03,24782
2016-09-04,15502
2016-09-05,25860
2016-09-06,28471
2016-09-07,16061
2016-09-08,21521
2016-09-09,29325
2016-09-10,29351
2016-09-11,17418
2016-09-12,17173
2016-09-13,29689
2016-09-14,17985
2016-09-15,27654
2016-09-16,22456
2016-09-17,29532
2016-09-18,32697
2016-09-19,25918
2016-09-20,18080
2016-09-21,14424
2016-09-22,20474
2016-09-23,28899
2016-09-24,42598
2016-09-25,26055
2016-09-26,22917
2016-09-27,27682
2016-09-28,32192
2016-09-29,27995
2016-09-30,21939
2016-10-01,14551
2016-10-02,23831
2016-10-03,16961
2016-10-04,19098
2016-10-05,34248
2016-10-06,31886
2016-10-07,19414
2016-10-08,25819
2016-10-09,22378
2016-10-10,39196
2016-10-11,25353
2016-10-12,21101
2016-10-13,18179
2016-10-14,33713
2016-10-15,13925
2016-10-16,20102
2016-10-17,23339
2016-10-18,20405
2016-10-19,24185
2016-10-20,19365
2016-10-21,28803
2016-10-22,35294
2016-10-23,37482
2016-10-24,29148
2016-10-25,28093
2016-10-26,24602
2016-10-27,43294
2016-10-28,56873
2016-10-29,43911
2016-10-30,23331
2016-10-31,24980
2016-11-01,33969
2016-11-02,26383
2016-11-03,34028
2016-11-04,28063
2016-11-05,32723
2016-11-06,30021
2016-11-07,40427
2016-11-08,41009
2016-11-09,41865
2016-11-10,28207
2016-11-11,29328
2016-11-12,28804
2016-11-13,24436
2016-11-14,22259
2016-11-15,31629
2016-11-16,35234
2016-11-17,25071
2016-11-18,40258
2016-11-19,32013
2016-11-20,30935
2016-11-21,34832
2016-11-22,20751
2016-11-23,30461
2016-11-24,40187
2016-11-25,51317
2016-11-26,42754
2016-11-27,36400
2016-11-28,45330
2016-11-29,56223
2016-11-30,32035
2016-12-01,34572
2016-12-02,30416
2016-12-03,35468
2016-12-04,34101
2016-12-05,34689
2016-12-06,27439
2016-12-07,23819
2016-12-08,41228
2016-12-09,33684
2016-12-10,28937
2016-12-11,30929
2016-12-12,28704
2016-12-13,35488
2016-12-14,32699
2016-12-15,27366
2016-12-16,37837
2016-12-17,29673
2016-12-18,41578
2016-12-19,41330
2016-12-20,40231
2016-12-21,37429
2016-12-22,33204
2016-12-23,48854
2016-12-24,34966
2016-12-25,39263
2016-12-26,43567
2016-12-27,44458
2016-12-28,46207
2016-12-29,46531
2016-12-30,47999
2016-12-31,31454
2017-01-01,24326
2017-01-02,37808
2017-01-03,37267
2017-01-04,35576
2017-01-05,37329
2017-01-06,47706
2017-01-07,34515
2017-01-08,35695
2017-01-09,43216
2017-01-10,34025
2017-01-11,33476
2017-01-12,35237
2017-01-13,39603
2017-01-14,32403
2017-01-15,35904
2017-01-16,33326
2017-01-17,40025
2017-01-18,45573
2017-01-19,37477
2017-01-20,33437
2017-01-21,32010
2017-01-22,36988
2017-01-23,43431
2017-01-24,48135
2017-01-25,37372
2017-01-26,37111
2017-01-27,37141
2017-01-28,33952
2017-01-29,38961
2017-01-30,44563
2017-01-31,48121
2017-02-01,34946
2017-02-02,44380
2017-02-03,31180
2017-02-04,40037
2017-02-05,35651
2017-02-06,47181
2017-02-07,49581
2017-02-08,49031
2017-02-09,46115
2017-02-10,44970
2017-02-11,52409
2017-02-12,62232
2017-02-13,39742
2017-02-14,31167
2017-02-15,28222
2017-02-16,35678
2017-02-17,30946
2017-02-18,34248
2017-02-19,39343
2017-02-20,44744
2017-02-21,42094
2017-02-22,37049
2017-02-23,40070
2017-02-24,37409
2017-02-25,42831
2017-02-26,52759
2017-02-27,31201
2017-02-28,29725
2017-03-01,30651
2017-03-02,33984
2017-03-03,28594
2017-03-04,35546
2017-03-05,34670
2017-03-06,31681
2017-03-07,32613
2017-03-08,39289
2017-03-09,55957
2017-03-10,56608
2017-03-11,45444
2017-03-12,39417
2017-03-13,34290
2017-03-14,39481
2017-03-15,40425
2017-03-16,33461
2017-03-17,31357
2017-03-18,39610
2017-03-19,37507
2017-03-20,47609
2017-03-21,31154
2017-03-22,33013
2017-03-23,36711
2017-03-24,40721
2017-03-25,35851
2017-03-26,38334
2017-03-27,42048
2017-03-28,45768
2017-03-29,62098
2017-03-30,50149
2017-03-31,42800
2017-04-01,31124
2017-04-02,22514
2017-04-03,43212
2017-04-04,54677
2017-04-05,50392
2017-04-06,32797
2017-04-07,30036
2017-04-08,24172
2017-04-09,32256
2017-04-10,32282
2017-04-11,43802
2017-04-12,22074
2017-04-13,25203
2017-04-14,24289
2017-04-15,33035
2017-04-16,28383
2017-04-17,28093
2017-04-18,37176
2017-04-19,53464
2017-04-20,52568
2017-04-21,42276
2017-04-22,36355
2017-04-23,21956
2017-04-24,30449
2017-04-25,31101
2017-04-26,35214
2017-04-27,35556
2017-04-28,37159
2017-04-29,31201
2017-04-30,22394
2017-05-01,30304
2017-05-02,30960
2017-05-03,33514
2017-05-04,40502
2017-05-05,52251
2017-05-06,37080
2017-05-07,39013
2017-05-08,38726
2017-05-09,37486
2017-05-10,34019
2017-05-11,32455
2017-05-12,31844
2017-05-13,26451
2017-05-14,21050
2017-05-15,30324
2017-05-16,39292
2017-05-17,24297
2017-05-18,29756
2017-05-19,16010
2017-05-20,13780
2017-05-21,20526
2017-05-22,34665
2017-05-23,25055
2017-05-24,27326
2017-05-25,31208
2017-05-26,32199
2017-05-27,35446
2017-05-28,32894
2017-05-29,21301
2017-05-30,19703
2017-05-31,19072
2017-06-01,28793
2017-06-02,42090
2017-06-03,40827
2017-06-04,17511
2017-06-05,19472
2017-06-06,25333
2017-06-07,29254
2017-06-08,13662
2017-06-09,9766
2017-06-10,14661
2017-06-11,20216
2017-06-12,38832
2017-06-13,38536
2017-06-14,30722
2017-06-15,31401
2017-06-16,30770
2017-06-17,22932
2017-06-18,29179
2017-06-19,30515
2017-06-20,22329
2017-06-21,24647
2017-06-22,26311
2017-06-23,27319
2017-06-24,8893
2017-06-25,12856
2017-06-26,13526
2017-06-27,16508
2017-06-28,19165
2017-06-29,14550
2017-06-30,13568
2017-07-01,19209
2017-07-02,30163
2017-07-03,26205
2017-07-04,16598
2017-07-05,9302
2017-07-06,15627
2017-07-07,29615
2017-07-08,17982
2017-07-09,23662
2017-07-10,30017
2017-07-11,31376
2017-07-12,21044
2017-07-13,23401
2017-07-14,21412
2017-07-15,22433
2017-07-16,5026
2017-07-17,9724
2017-07-18,16108
2017-07-19,21159
2017-07-20,19158
2017-07-21,23546
2017-07-22,29624
2017-07-23,29310
2017-07-24,30344
2017-07-25,32392
2017-07-26,27014
2017-07-27,28387
2017-07-28,27394
2017-07-29,30461
2017-07-30,17952
2017-07-31,30169
2017-08-01,29514
2017-08-02,16635
2017-08-03,23783
2017-08-04,25501
2017-08-05,23820
2017-08-06,30989
2017-08-07,40215
2017-08-08,33766
2017-08-09,19114
2017-08-10,14346
2017-08-11,14699
2017-08-12,27369
2017-08-13,17461
2017-08-14,32208
2017-08-15,31204
2017-08-16,33287
2017-08-17,36403
2017-08-18,29557
2017-08-19,34739
2017-08-20,37863
2017-08-21,33414
2017-08-22,17237
2017-08-23,21045
2017-08-24,18644
2017-08-25,20040
2017-08-26,25243
2017-08-27,21801
2017-08-28,16623
2017-08-29,26340
2017-08-30,28094
2017-08-31,32975
2017-09-01,35779
2017-09-02,24334
2017-09-03,31311
2017-09-04,35513
2017-09-05,23693
2017-09-06,32428
2017-09-07,34198
2017-09-08,37367
2017-09-09,27260
2017-09-10,32177
2017-09-11,52503
2017-09-12,27322
2017-09-13,18579
2017-09-14,33327
2017-09-15,26682
2017-09-16,49188
2017-09-17,52390
2017-09-18,52430
2017-09-19,67611
2017-09-20,59909
2017-09-21,45847
2017-09-22,39529
2017-09-23,33554
2017-09-24,36407
2017-09-25,32897
2017-09-26,40002
2017-09-27,23027
2017-09-28,42544
2017-09-29,29449
2017-09-30,30891
2017-10-01,30914
2017-10-02,36272
2017-10-03,24555
2017-10-04,17450
2017-10-05,35640
2017-10-06,27107
2017-10-07,51757
2017-10-08,47152
2017-10-09,35390
2017-10-10,36132
2017-10-11,40455
2017-10-12,37261
2017-10-13,39082
2017-10-14,33011
2017-10-15,37704
2017-10-16,40966
2017-10-17,48549
2017-10-18,35269
2017-10-19,47181
2017-10-20,34961
2017-10-21,41119
2017-10-22,35735
2017-10-23,52018
2017-10-24,68686
2017-10-25,83208
2017-10-26,55755
2017-10-27,34782
2017-10-28,39159
2017-10-29,43905
2017-10-30,39943
2017-10-31,45787
