Date,Sales
2014-01-01,11219
2014-01-02,12745
2014-01-03,10498
2014-01-04,12028
2014-01-05,13900
2014-01-06,15694
2014-01-07,15211
2014-01-08,15404
2014-01-09,9663
2014-01-10,10103
2014-01-11,10373
2014-01-12,12604
2014-01-13,11173
2014-01-14,10849
2014-01-15,8983
2014-01-16,11825
2014-01-17,16134
2014-01-18,11947
2014-01-19,9641
2014-01-20,9138
2014-01-21,12693
2014-01-22,11328
2014-01-23,10480
2014-01-24,12751
2014-01-25,9643
2014-01-26,11311
2014-01-27,13594
2014-01-28,12393
2014-01-29,13548
2014-01-30,15757
2014-01-31,13151
2014-02-01,13961
2014-02-02,13630
2014-02-03,13915
2014-02-04,14642
2014-02-05,12014
2014-02-06,12209
2014-02-07,12936
2014-02-08,13843
2014-02-09,14753
2014-02-10,12728
2014-02-11,14530
2014-02-12,16873
2014-02-13,16720
2014-02-14,12984
2014-02-15,14797
2014-02-16,12664
2014-02-17,12143
2014-02-18,10540
2014-02-19,13623
2014-02-20,10120
2014-02-21,12216
2014-02-22,11419
2014-02-23,7987
2014-02-24,9544
2014-02-25,11015
2014-02-26,13219
2014-02-27,17804
2014-02-28,12801
2014-03-01,12637
2014-03-02,9629
2014-03-03,12675
2014-03-04,10486
2014-03-05,14371
2014-03-06,10240
2014-03-07,11179
2014-03-08,13139
2014-03-09,10100
2014-03-10,13178
2014-03-11,12826
2014-03-12,14055
2014-03-13,13050
2014-03-14,11295
2014-03-15,12901
2014-03-16,15542
2014-03-17,16690
2014-03-18,8827
2014-03-19,9592
2014-03-20,6969
2014-03-21,8205
2014-03-22,13223
2014-03-23,14473
2014-03-24,10515
2014-03-25,9202
2014-03-26,9786
2014-03-27,8753
2014-03-28,7813
2014-03-29,9256
2014-03-30,11850
2014-03-31,11963
2014-04-01,8625
2014-04-02,9310
2014-04-03,9708
2014-04-04,10781
2014-04-05,11568
2014-04-06,10715
2014-04-07,10441
2014-04-08,12392
2014-04-09,9502
2014-04-10,13302
2014-04-11,10696
2014-04-12,12854
2014-04-13,12677
2014-04-14,9961
2014-04-15,12909
2014-04-16,9108
2014-04-17,10887
2014-04-18,10117
2014-04-19,8557
2014-04-20,11525
2014-04-21,12330
2014-04-22,6421
2014-04-23,9497
2014-04-24,13671
2014-04-25,14584
2014-04-26,9041
2014-04-27,4775
2014-04-28,3288
2014-04-29,3492
2014-04-30,5695
2014-05-01,5503
2014-05-02,7014
2014-05-03,9533
2014-05-04,9948
2014-05-05,4930
2014-05-06,6348
2014-05-07,4844
2014-05-08,6265
2014-05-09,7185
2014-05-10,7600
2014-05-11,9540
2014-05-12,8842
2014-05-13,9668
2014-05-14,12332
2014-05-15,9695
2014-05-16,9505
2014-05-17,8699
2014-05-18,8199
2014-05-19,10058
2014-05-20,6372
2014-05-21,7513
